dep;nomdep;codecommune;nomcommune;GEO_latitude;GEO_longitude;DBL_geo_point_2d;DBL_coderegion;DBL_nomregion;DBL_bug
87;HAUTE-VIENNE;87124;RILHAC-LASTOURS;45.65894067529302;1.113799481245077;45.65894067529302, 1.113799481245077;74;LIMOUSIN;0
21;"""COTE-D'OR""";21246;EPERNAY-SOUS-GEVREY;47.17450537306952;5.037365218347022;47.174505373069515, 5.037365218347022;26;BOURGOGNE;0
38;ISERE;38473;SARDIEU;45.36010045953638;5.22079778885097;45.36010045953638, 5.22079778885097;82;RHONE-ALPES;0
60;OISE;60212;ERCUIS;49.23351962931282;2.308514124853868;49.23351962931282, 2.308514124853868;22;PICARDIE;0
46;LOT;46168;LENTILLAC-SAINT-BLAISE;44.58875712334309;2.117294819252981;44.58875712334309, 2.117294819252981;73;MIDI-PYRENEES;0
57;MOSELLE;57339;HULTEHOUSE;48.71800555383512;7.263022456909971;48.71800555383512, 7.263022456909971;41;LORRAINE;0
10;AUBE;10028;BALNOT-LA-GRANGE;47.9884933351696;4.19819242962292;47.9884933351696, 4.19819242962292;21;CHAMPAGNE-ARDENNE;0
03;ALLIER;03133;JENZAT;46.160115787869856;3.197388090011658;46.160115787869856, 3.197388090011658;83;AUVERGNE;0
80;SOMME;80402;GUIZANCOURT;49.73627730368551;1.9979327367063504;49.73627730368551, 1.9979327367063502;22;PICARDIE;0
27;EURE;27018;APPEVILLE-ANNEBAULT;49.322265478011566;0.6510479263855751;49.322265478011566, 0.6510479263855751;23;HAUTE-NORMANDIE;0
27;EURE;27325;HECMANVILLE;49.17260115081007;0.6636348888904501;49.17260115081007, 0.6636348888904501;23;HAUTE-NORMANDIE;0
11;AUDE;11222;MAS-CABARDES;43.39952555933367;2.35766754646135;43.39952555933367, 2.35766754646135;91;LANGUEDOC-ROUSSILLON;0
09;ARIEGE;09274;SAINT-QUENTIN-LA-TOUR;43.03107748561354;1.9066841848938112;43.031077485613544, 1.9066841848938112;73;MIDI-PYRENEES;0
78;YVELINES;78490;PLAISIR;48.81260822963688;1.9469851571514152;48.81260822963688, 1.9469851571514152;11;ILE-DE-FRANCE;0
43;HAUTE-LOIRE;43013;VISSAC-AUTEYRAC;45.11637660845984;3.624182520464133;45.11637660845984, 3.624182520464133;83;AUVERGNE;0
80;SOMME;80019;ALLERY;49.95941641165966;1.88551094402293;49.95941641165966, 1.88551094402293;22;PICARDIE;0
71;SAONE-ET-LOIRE;71124;CHENOVES;46.666255800727086;4.700925803141805;46.666255800727086, 4.700925803141805;26;BOURGOGNE;0
