,MEN_nmen,MEN_nmencomp,codecommune
756,43,6,02400
757,84,7,02401
758,129,9,02403
759,63,10,02404
760,187,10,02405
761,38,6,02406
762,41,3,02407
763,9105,533,02408
764,86,6,02409
765,90,15,02410
766,45,11,02411
767,18,1,02412
768,50,2,02413
769,82,5,02414
770,33,2,02415
771,161,8,02416
772,49,3,02417
773,90,6,02418
774,109,16,02419
775,162,16,02420
776,25,2,02421
777,281,25,02422
778,125,9,02423
779,35,1,02424
780,58,6,02425
781,195,14,02426
782,34,0,02427
783,16,2,02428
784,30,1,02429
785,367,40,02430
786,119,7,02431
787,64,6,02432
788,62,9,02433
789,31,2,02435
790,83,9,02438
791,84,7,02439
792,40,7,02440
793,62,3,02441
794,26,6,02442
795,40,5,02443
796,50,7,02444
797,111,12,02445
798,26,4,02446
799,48,7,02447
800,42,1,02448
801,150,15,02450
802,34,2,02451
803,68,6,02452
804,113,14,02453
805,114,11,02454
806,76,10,02455
807,106,10,02456
808,116,7,02457
809,50,6,02458
810,55,6,02459
811,72,8,02460
812,103,16,02461
813,53,5,02462
814,35,7,02463
815,80,9,02464
816,100,12,02465
817,36,6,02466
818,860,68,02468
819,160,20,02469
820,163,15,02470
821,35,3,02471
822,142,9,02472
823,66,3,02473
824,112,15,02474
825,256,14,02476
826,211,30,02477
827,46,6,02478
828,102,11,02480
829,88,2,02481
830,188,18,02483
831,106,10,02484
832,30,2,02485
833,38,6,02486
834,120,7,02487
835,58,7,02488
836,66,4,02489
837,49,1,02490
838,122,10,02491
839,129,18,02492
840,81,8,02493
841,36,2,02494
842,310,32,02495
843,25,5,02496
844,252,28,02497
845,200,17,02498
846,349,28,02500
847,26,3,02501
848,513,39,02502
849,252,16,02503
850,513,52,02504
851,52,6,02505
852,57,8,02506
853,31,3,02508
854,38,3,02509
855,31,3,02510
856,97,5,02511
857,64,6,02512
858,73,5,02513
859,186,15,02514
860,16,2,02515
861,26,6,02516
862,93,11,02517
863,73,10,02518
864,81,1,02519
865,202,14,02520
866,235,14,02521
867,26,2,02522
868,17,2,02523
869,233,14,02524
870,182,17,02525
871,43,6,02526
872,127,10,02527
873,63,6,02528
874,69,8,02529
875,32,4,02530
876,38,6,02531
877,349,29,02532
878,32,2,02533
879,53,9,02535
880,26,0,02536
881,48,3,02537
882,23,2,02538
883,225,17,02539
884,161,14,02540
885,148,4,02541
886,24,1,02542
887,544,48,02543
888,166,13,02544
889,59,4,02545
890,32,5,02546
891,125,9,02548
892,244,19,02549
893,22,2,02550
894,17,2,02551
895,64,10,02552
896,90,11,02553
897,288,10,02554
898,436,38,02555
899,39,1,02556
900,25,3,02557
901,1040,68,02558
902,150,22,02559
903,105,6,02560
904,37,1,02561
905,62,5,02562
906,59,8,02563
907,112,8,02564
908,65,3,02565
909,309,30,02566
910,106,8,02567
911,38,5,02568
912,159,15,02569
913,47,11,02570
914,169,9,02571
915,64,3,02572
916,23,1,02573
917,519,50,02574
918,652,66,02575
919,51,13,02576
920,28,1,02577
921,22,0,02578
922,43,6,02579
923,202,18,02580
924,59,7,02581
925,32,6,02582
926,26,2,02584
927,52,4,02585
928,77,6,02586
929,78,3,02587
930,21,1,02588
931,45,4,02589
932,52,6,02590
933,43,7,02591
934,71,10,02592
935,244,15,02593
936,34,3,02594
937,47,5,02595
938,211,14,02596
939,139,12,02598
940,84,9,02599
941,141,4,02600
942,26,3,02601
943,541,52,02602
944,29,1,02604
945,58,6,02605
946,22,3,02606
947,23,2,02607
948,234,15,02608
949,150,14,02610
950,33,4,02612
951,101,8,02613
952,78,9,02614
953,73,2,02615
954,69,11,02616
955,152,16,02617
956,260,25,02618
957,180,11,02619
958,101,11,02620
959,91,11,02621
960,42,4,02623
961,117,11,02624
962,50,5,02625
963,78,6,02626
964,34,2,02627
965,42,4,02628
966,107,6,02629
967,104,9,02631
968,24,5,02634
969,54,4,02635
970,78,10,02636
971,91,10,02637
972,70,11,02638
973,113,6,02639
974,59,6,02640
975,51,7,02641
976,97,10,02642
977,193,20,02643
978,94,11,02644
979,59,6,02645
980,35,4,02647
981,680,36,02648
982,56,6,02649
983,133,9,02650
984,26,2,02651
985,37,4,02652
986,114,6,02653
987,29,1,02654
988,37,1,02655
989,101,1,02656
990,85,4,02657
991,78,9,02658
992,125,8,02659
993,46,4,02661
994,95,9,02662
995,47,6,02663
996,16,3,02664
997,54,6,02665
998,417,26,02666
999,63,7,02667
1000,413,25,02668
1001,69,8,02670
1002,76,10,02671
1003,60,9,02672
1004,114,7,02673
1005,35,5,02675
1006,554,36,02676
1007,50,7,02677
1008,26,5,02678
1009,31,1,02679
1010,790,74,02680
1011,110,10,02681
1012,35,3,02682
1013,51,2,02683
1014,1338,117,02684
1015,27,4,02685
1016,112,13,02686
1017,58,5,02687
1018,27,1,02690
1019,23113,1253,02691
1020,56,5,02693
1021,151,12,02694
1022,30,0,02696
1023,57,8,02697
1024,20,1,02698
1025,70,4,02699
1026,213,18,02701
1027,156,16,02702
1028,367,28,02703
1029,65,4,02704
1030,62,6,02705
1031,161,15,02706
1032,60,3,02707
1033,69,5,02708
1034,169,20,02709
1035,175,17,02710
1036,78,9,02711
1037,44,5,02712
1038,66,4,02713
1039,86,6,02714
1040,68,9,02716
1041,231,23,02717
1042,33,4,02718
1043,720,70,02719
1044,656,43,02720
1045,174,9,02721
1046,9814,554,02722
1047,37,5,02723
1048,42,6,02725
1049,46,6,02726
1050,79,6,02727
1051,111,11,02728
1052,24,2,02729
1053,99,12,02730
1054,63,9,02731
1055,28,1,02732
1056,92,11,02734
1057,63,4,02736
1058,217,19,02737
1059,4098,249,02738
1060,74,10,02739
1061,91,7,02740
1062,254,22,02741
1063,52,5,02742
1064,47,5,02743
1065,15,1,02744
1066,51,8,02745
1067,212,19,02746
1068,24,2,02747
1069,319,24,02748
1070,41,5,02749
1071,189,10,02750
1072,28,1,02751
1073,81,7,02752
1074,119,18,02753
1075,63,10,02754
1076,137,18,02755
1077,155,21,02756
1078,216,15,02757
1079,650,35,02758
1080,105,11,02759
1081,57,6,02760
1082,28,1,02761
1083,44,4,02762
1084,46,4,02763
1085,25,4,02764
1086,45,4,02765
1087,67,6,02766
1088,56,5,02767
1089,104,7,02768
1090,292,27,02769
1091,179,16,02770
1092,52,5,02772
1093,38,7,02774
1094,281,30,02775
1095,188,8,02776
1096,47,2,02777
1097,31,4,02778
1098,85,7,02779
1099,437,38,02780
1100,82,7,02781
1101,78,3,02782
1102,52,5,02783
1103,63,3,02784
1104,350,32,02785
1105,35,7,02786
1106,74,8,02787
1107,154,13,02788
1108,918,71,02789
1109,73,9,02790
1110,76,8,02791
1111,44,4,02792
1112,32,5,02793
1113,43,3,02794
1114,461,38,02795
1115,31,1,02796
1116,46,7,02797
1117,238,10,02798
1118,128,15,02799
1119,62,11,02800
1120,121,11,02801
1121,80,7,02802
1122,23,5,02803
1123,58,8,02804
1124,843,76,02805
1125,76,8,02806
1126,154,13,02807
1127,122,10,02808
1128,25,3,02809
1129,2658,188,02810
1130,51,6,02812
1131,78,8,02813
1132,56,7,02814
1133,129,10,02815
1134,107,7,02816
1135,26,2,02817
1136,241,10,02818
1137,54,6,02819
1138,451,43,02820
1139,116,10,02821
1140,110,12,02822
1141,32,8,02823
1142,117,9,02824
1143,141,16,02826
1144,113,11,02827
1145,26,5,02828
1146,313,29,02830
1147,105,15,02831
1148,73,8,02832
1149,161,11,02833
1150,44,3,02834
1151,755,61,03001
1152,113,23,03002
1153,464,103,03003
1154,94,33,03004
1155,108,14,03005
1156,370,61,03006
1157,124,21,03007
1158,102,23,03008
1159,32,3,03009
1160,132,13,03010
1161,85,23,03011
1162,94,19,03012
1163,873,65,03013
1164,80,11,03014
1165,74,19,03015
1166,47,4,03016
1167,89,14,03017
1168,178,30,03018
1169,532,101,03019
1170,134,23,03020
1171,49,5,03021
1172,435,50,03022
1173,2498,200,03023
1174,140,30,03024
1175,374,56,03025
1176,254,46,03026
1177,430,27,03027
1178,97,10,03028
1179,323,30,03029
1180,191,40,03030
1181,117,17,03031
1182,70,10,03032
1183,45,16,03033
1184,167,41,03034
1185,103,22,03035
1186,903,75,03036
1187,87,23,03037
1188,191,23,03038
1189,138,21,03039
1190,222,40,03040
1191,187,24,03041
1192,224,41,03042
1193,356,37,03043
1194,342,55,03044
1195,253,45,03045
1196,536,36,03046
1197,160,26,03047
1198,645,71,03048
1199,112,22,03049
1200,107,18,03050
1201,129,28,03051
1202,292,30,03052
1203,371,24,03053
1204,77,23,03054
1205,314,33,03055
1206,142,22,03056
1207,79,22,03057
1208,94,20,03058
1209,127,18,03059
1210,116,15,03060
1211,96,16,03061
1212,166,9,03062
1213,270,36,03063
1214,81,6,03064
1215,166,28,03065
1216,186,33,03066
1217,68,21,03067
1218,62,7,03068
1219,124,18,03069
1220,76,11,03070
1221,140,17,03071
1222,148,12,03072
1223,135,30,03073
1224,203,37,03074
1225,65,8,03075
1226,50,24,03076
1227,52,11,03077
1228,104,12,03078
1229,148,19,03079
1230,152,22,03080
1231,135,11,03081
1232,3646,226,03082
1233,182,31,03083
1234,869,47,03084
1235,151,16,03085
1236,121,23,03086
1237,307,43,03087
1238,146,20,03088
1239,61,7,03089
1240,109,17,03090
1241,101,19,03091
1242,245,44,03092
1243,199,22,03093
1244,609,47,03094
1245,4705,364,03095
1246,32,3,03096
1247,129,17,03097
1248,1701,114,03098
1249,182,36,03099
1250,523,45,03100
1251,2342,180,03101
1252,1291,136,03102
1253,508,73,03103
1254,475,39,03104
1255,140,23,03105
1256,362,40,03106
1257,423,34,03107
1258,172,19,03108
1259,203,32,03109
1260,154,26,03110
1261,309,39,03111
1262,235,34,03112
1263,271,49,03113
1264,101,18,03114
1265,118,18,03115
1266,88,16,03116
1267,194,34,03117
1268,2103,172,03118
1269,187,36,03119
1270,230,37,03120
1271,116,29,03121
1272,109,15,03122
1273,61,12,03124
1274,93,15,03125
1275,297,25,03126
1276,339,39,03127
1277,765,71,03128
1278,129,14,03129
1279,134,47,03130
1280,185,32,03131
1281,281,31,03132
1282,169,15,03133
1283,87,23,03134
1284,163,19,03135
1285,67,5,03136
1286,75,13,03137
1287,1258,99,03138
1288,326,41,03139
1289,283,24,03140
1290,90,23,03141
1291,140,26,03142
1292,57,3,03143
1293,111,33,03144
1294,150,14,03145
1295,62,8,03146
1296,86,24,03147
1297,76,21,03148
1298,127,19,03149
1299,115,22,03150
1300,71,8,03151
1301,149,11,03152
1302,134,27,03154
1303,814,82,03155
1304,362,77,03156
1305,193,32,03157
1306,117,10,03158
1307,174,21,03159
