,EMP_emp2006,EMP_adm2006,EMP_agr2006,EMP_cre2006,EMP_loi2006,EMP_dis2006,EMP_edu2006,EMP_fab2006,EMP_bag2006,EMP_tra2006,EMP_san2006,EMP_res2006,EMP_emp2016,EMP_adm2016,EMP_agr2016,EMP_cre2016,EMP_loi2016,EMP_dis2016,EMP_edu2016,EMP_fab2016,EMP_bag2016,EMP_tra2016,EMP_san2016,EMP_res2016,DBL_dep,DBL_nomdep,DBL_nomcommune,EMP_codecommune,EMP_btp_cie2006,EMP_btp_cie2016,EMP_rep_con2016,EMP_rep_con2006
917,107.67096,11.961102,27.885683,3.8625162,4.0,0.0,3.9480097,11.963303,12.102332,4.0,4.0,8.0,181.77016,9.8471804,34.526993,4.8451328,0.0,24.395485,4.8451328,9.936059,14.795542,29.727146,0.0,29.470953,26,DROME,MORAS-EN-VALLOIRE,26213,3.9480097,9.6902656,9.6902656,12.0
918,34.231815,0.0,17.020002,0.0,0.0,4.6537156,0.0,4.6537156,0.0,4.0,0.0,0.0,49.649921,0.0,30.402565,0.0,0.0,9.5541563,0.0,0.0,0.0,4.7770782,0.0,4.9161224,26,DROME,MORNANS,26214,0.0,0.0,0.0,3.9043825
919,188.65446,20.107014,12.064208,0.0,0.0,8.1160669,8.0428047,1.3103631,12.064208,7.9656968,43.252819,39.665852,128.71022,9.5382032,4.9471984,0.0,0.0,4.9471984,0.0,0.0,15.073028,0.0,49.44796,4.9933128,26,DROME,MOTTE-CHALANCON,26215,20.000504,29.776701,9.9866257,16.064936
920,127.12742,4.0,23.754885,4.0103965,3.900147,0.0,0.0,19.874828,7.900147,12.072226,0.0,15.788119,178.04398,0.0,14.905661,0.0,4.9685535,4.9466195,14.905661,24.796808,9.9685535,4.9685535,9.970211,29.740011,26,DROME,MOTTE-DE-GALAURE,26216,27.931669,40.96455,17.908787,7.8949976
921,43.114147,0.0,3.9606647,0.0,0.0,3.9864061,0.0,3.8387849,11.664631,0.0,0.0,3.9864061,87.362167,0.0,10.120138,4.9957442,0.0,5.0264549,0.0,20.038158,10.015558,10.906186,0.0,0.0,26,DROME,MOTTE-FANJAS,26217,15.677254,9.9535151,16.306417,0.0
922,787.49133,3.9464338,30.751989,4.0,13.489144,28.731054,10.900881,113.44898,130.00165,96.421638,40.409229,40.73901,951.60516,8.4533463,9.7908354,10.415067,24.339523,45.029663,36.601418,157.85225,134.85446,79.15818,153.45795,59.602947,26,DROME,MOURS-SAINT-EUSÈBE,26218,185.135571,160.29977,71.74976699999999,89.515728
923,2967.9126,251.22835,119.09594,15.922506,55.908627,349.60535,113.92458,130.47009,354.39651,139.32687,494.02765,328.64047,2873.9194,204.62851,103.80956,9.9310408,78.291466,293.40536,181.84418,95.775276,304.03116,105.25216,532.56171,385.73166,26,DROME,NYONS,26220,318.07767199999995,278.20832099999996,300.44912,297.287934
924,1.0594317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0594317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,DROME,OMBLÈZE,26221,0.0,0.0,0.0,0.0
925,46.65152,0.0,12.946765,0.0,0.0,0.0,0.0,8.232089,0.0,4.3155885,4.3155885,8.2103119,49.667583,0.0,9.9230919,0.0,0.0,0.0,0.0,0.0,5.0,4.9886446,0.0,19.85976,26,DROME,ORIOL-EN-ROYANS,26223,4.3155885,9.8960857,0.0,4.3155885
926,15.800743,0.0,3.9501858,0.0,0.0,0.0,0.0,0.0,0.0,3.9501858,3.9501858,0.0,29.84494,0.0,4.9999561,0.0,0.0,0.0,4.8451142,0.0,0.0,0.0,0.0,9.9999561,26,DROME,OURCHES,26224,0.0,9.9999123,0.0,3.9501858
